Niue,1,612
Tuvalu,9,876
Nauru,10,084
Palau,20,918
Cook Islands,21,000
San Marino,31,595
Liechtenstein,37,468
Monaco,37,831
Marshall Islands,52,634
Saint Kitts and Nevis,54,191
Guernsey,65,345
Dominica,72,003
Andorra,79,218
Isle of Man,85,888
Antigua and Barbuda,89,985
Seychelles,92,000
Jersey,100,080
Kiribati,102,351
Federated States of Micronesia,103,549
Tonga,105,323
Grenada,105,897
Saint Vincent and the Grenadines,109,373
Saint Lucia,182,273
Samoa,190,372
São Tomé and Príncipe,192,993
Vanuatu,252,763
Barbados,284,644
Iceland,332,529
Maldives,345,023
Belize,366,954
The Bahamas,377,374
Brunei,417,784
Malta,423,374
Cape Verde,498,897
Sahrawi Arab Democratic Republic,502,585
Suriname,539,276
Luxembourg,543,360
Solomon Islands,561,231
Western Sahara,586,000
Montenegro,620,029
Comoros,734,917
Bhutan,753,947
Equatorial Guinea,757,014
Guyana,799,613
Djibouti,872,932
Fiji,881,065
Cyprus,1,141,166
East Timor,1,180,069
Swaziland,1,249,514
Mauritius,1,258,653
Estonia,1,315,635
Bahrain,1,332,171
Trinidad and Tobago,1,341,151
Gabon,1,671,711
Guinea-Bissau,1,704,255
The Gambia,1,849,285
Kosovo,1,883,018
Latvia,1,953,000
Botswana,2,021,144
Slovenia,2,062,874
Lesotho,2,074,465
Republic of Macedonia,2,107,158
Qatar,2,168,673
Namibia,2,303,315
Moldova,2,550,900
Lithuania,2,810,118
Jamaica,2,950,210
Armenia,2,976,566
Albania,3,020,209
Mongolia,3,081,678
Uruguay,3,407,062
Bosnia and Herzegovina,3,531,159
Oman,3,632,444
Georgia,3,729,500
Panama,3,864,170
Mauritania,3,889,880
Croatia,4,284,889
Liberia,4,294,077
Republic of the Congo,4,447,632
Lebanon,4,467,390
State of Palestine,4,550,368
Central African Republic,4,616,417
Kuwait,4,660,000
Ireland,4,761,865
New Zealand,4,793,700
Costa Rica,4,872,166
Turkmenistan,5,125,693
Norway,5,213,985
Slovakia,5,426,252
Finland,5,501,043
Denmark,5,707,251
Kingdom of Denmark,5,707,251
Singapore,5,888,926
Kyrgyzstan,6,000,000
Nicaragua,6,080,478
Sierra Leone,6,092,075
Libya,6,201,521
Eritrea,6,333,135
El Salvador,6,340,454
Laos,6,769,727
Paraguay,6,802,295
Togo,6,816,982
Serbia,7,041,599
Bulgaria,7,265,115
Papua New Guinea,7,321,262
Honduras,8,097,688
Switzerland,8,211,700
Austria,8,572,895
Tajikistan,8,610,000
Israel,8,796,200
United Arab Emirates,9,346,129
Azerbaijan,9,416,801
Belarus,9,494,200
Jordan,9,813,095
Hungary,9,817,958
Sweden,9,954,420
Burundi,10,162,532
Haiti,10,317,461
Benin,10,323,474
Dominican Republic,10,403,761
Portugal,10,457,295
Somalia,10,495,583
Czech Republic,10,610,055
Guinea,10,628,972
Bolivia,10,671,200
Greece,10,815,197
Belgium,11,150,516
Cuba,11,265,629
Tunisia,11,304,500
Rwanda,11,776,522
South Sudan,12,340,000
Chad,12,825,314
Senegal,14,133,280
Zimbabwe,14,149,648
Zambia,14,309,466
Cambodia,15,135,169
Mali,15,301,650
Guatemala,15,468,203
Ecuador,15,737,878
Malawi,16,362,567
Burkina Faso,16,934,839
Netherlands,17,000,000
Kingdom of the Netherlands,17,100,715
Chile,17,619,708
Niger,17,831,270
Kazakhstan,17,948,816
Romania,20,147,528
Sri Lanka,20,277,597
Ivory Coast,20,316,086
Angola,21,471,618
Cameroon,22,253,959
Syria,22,845,550
Madagascar,22,924,851
Australia,23,401,892
Taiwan,23,508,362
North Korea,24,895,480
Mozambique,25,833,752
Yemen,26,183,676
Ghana,28,308,301
Saudi Arabia,28,828,870
Malaysia,29,716,965
Peru,30,375,603
Venezuela,30,405,207
Nepal,30,986,975
Uzbekistan,31,576,400
Afghanistan,31,822,848
Morocco,33,008,150
Iraq,33,417,476
Canada,35,702,707
Uganda,37,578,876
Poland,38,454,576
Algeria,38,813,722
Sudan,40,235,000
Ukraine,42,558,328
Argentina,43,417,000
Kenya,44,353,691
Spain,46,528,024
Colombia,47,704,427
Tanzania,49,253,126
South Korea,51,069,375
Myanmar,53,259,018
South Africa,55,445,000
Italy,60,599,936
United Kingdom,65,102,385
Thailand,65,931,550
France,66,628,000
Democratic Republic of the Congo,67,513,677
Turkey,76,223,639
Iran,77,447,168
Germany,81,292,400
Vietnam,91,700,000
Egypt,94,798,827
Ethiopia,96,958,732
Philippines,100,981,437
Japan,127,110,047
Mexico,130,526,945
Russia,146,804,372
Bangladesh,156,594,962
Pakistan,182,142,594
Nigeria,182,202,000
Brazil,200,361,925
Indonesia,249,865,631
United States of America,323,952,889
India,1,339,180,127
People's Republic of China,1,409,517,397
